Date,state,Population Staying at Home,Population Not Staying at Home,Number of Trips,Number of Trips <1,Number of Trips 1-3,Number of Trips 3-5,Number of Trips 5-10,Number of Trips 10-25,Number of Trips 25-50,Number of Trips 50-100,Number of Trips 100-250,Number of Trips 250-500,Number of Trips >=500
2019-01-01,NV,753054.0,2272063.0,9139676.0,2999886.0,2181216.0,1039500.0,1378024.0,1108436.0,222837.0,93301.0,73578.0,24471.0,18427.0
2019-01-01,FL,4524666.0,16709556.0,55258300.0,16036792.0,14469767.0,6658624.0,7977612.0,6604304.0,2113009.0,796740.0,412224.0,95341.0,93887.0
2019-01-01,DC,241030.0,459278.0,3114055.0,1314825.0,833796.0,367547.0,344116.0,183744.0,42096.0,10730.0,8109.0,3476.0,5616.0
2019-01-01,DE,224457.0,739757.0,2420942.0,584323.0,640348.0,305441.0,370359.0,314102.0,128454.0,50542.0,22701.0,2474.0,2198.0
2019-01-01,CT,853894.0,2707851.0,9468961.0,2375021.0,2618933.0,1189575.0,1331356.0,1211252.0,449947.0,192960.0,56618.0,12031.0,31268.0
2019-01-01,CO,1500392.0,4177764.0,17617208.0,4658614.0,4542154.0,2068250.0,2609927.0,2473886.0,730418.0,323870.0,124776.0,32545.0,52768.0
2019-01-01,NH,312645.0,1039666.0,3705345.0,726417.0,970009.0,492350.0,582185.0,573171.0,231818.0,90462.0,27333.0,3998.0,7602.0
2019-01-01,NJ,2244189.0,6637104.0,26078674.0,7491874.0,6764617.0,3009746.0,3582118.0,3262723.0,1233743.0,486493.0,155179.0,28397.0,63784.0
2019-01-01,NM,525761.0,1563262.0,6475422.0,1972284.0,1756894.0,795723.0,834525.0,632375.0,231297.0,139256.0,83929.0,19001.0,10138.0
2019-01-01,NY,5931873.0,13550603.0,60957950.0,18317662.0,15401822.0,7187598.0,8789865.0,7589390.0,2294488.0,857637.0,329795.0,72132.0,117561.0
2019-01-01,NC,2293224.0,8058657.0,26744044.0,6258393.0,7048399.0,3361848.0,4201745.0,3765578.0,1249172.0,496564.0,256359.0,59655.0,46331.0
2019-01-01,ND,178793.0,578962.0,1893234.0,484503.0,539011.0,240615.0,235243.0,190068.0,93125.0,61451.0,33367.0,11776.0,4075.0
2019-01-01,OH,2797424.0,8856289.0,30847306.0,7953880.0,8051665.0,3770610.0,4587972.0,4272735.0,1284837.0,554885.0,266696.0,63176.0,40850.0
2019-01-01,OK,980945.0,2950079.0,9750687.0,2511951.0,2659164.0,1181770.0,1407603.0,1285012.0,401473.0,177385.0,95057.0,18757.0,12515.0
2019-01-01,OR,1033821.0,3144080.0,12028695.0,3152087.0,3334320.0,1473205.0,1641658.0,1555258.0,501785.0,220696.0,99421.0,21330.0,28935.0
2019-01-01,PA,3132920.0,9634995.0,33826579.0,8601832.0,8819859.0,4214765.0,5194405.0,4522755.0,1463264.0,623898.0,297378.0,48232.0,40191.0
2019-01-01,RI,251088.0,802995.0,2932020.0,758244.0,839552.0,365646.0,419827.0,375537.0,122483.0,32386.0,10683.0,2360.0,5302.0
2019-01-01,SC,1072757.0,3995826.0,13020123.0,3161468.0,3476445.0,1630227.0,2044472.0,1814146.0,532898.0,197452.0,117343.0,24951.0,20721.0
2019-01-01,AL,1028578.0,3844356.0,11968328.0,2792091.0,3151108.0,1604875.0,1879113.0,1629105.0,534229.0,232409.0,108187.0,27164.0,10047.0
2019-01-01,ID,404687.0,1344160.0,4401031.0,1122327.0,1155053.0,542085.0,635122.0,577418.0,199056.0,86692.0,56228.0,16433.0,10617.0
2019-01-01,IL,3216509.0,9485624.0,37861772.0,10379933.0,9779855.0,4458549.0,5323815.0,5015994.0,1896931.0,537863.0,310150.0,86905.0,71777.0
2019-01-01,IN,1566096.0,5105330.0,18395241.0,4584480.0,4938367.0,2355215.0,2715573.0,2385364.0,821423.0,331267.0,194775.0,39074.0,29703.0
2019-01-01,IA,743611.0,2402886.0,8461075.0,1965362.0,2340008.0,1016753.0,1181670.0,1080942.0,484470.0,224241.0,116346.0,30071.0,21212.0
2019-01-01,SD,208888.0,670647.0,2322446.0,577183.0,648196.0,285526.0,311607.0,251036.0,122127.0,71131.0,40931.0,9512.0,5197.0
2019-01-01,GA,2370345.0,8116978.0,25999681.0,6441569.0,6704781.0,3164791.0,3975848.0,3545829.0,1290260.0,461860.0,276326.0,87558.0,50859.0
2019-01-01,KS,707412.0,2195189.0,8211920.0,2072697.0,2258194.0,977179.0,1154332.0,1060977.0,385585.0,174214.0,89411.0,23407.0,15924.0
2019-01-01,KY,1052270.0,3402472.0,12746274.0,2976417.0,3377604.0,1694130.0,1951715.0,1704549.0,595864.0,264999.0,141412.0,27514.0,12070.0
2019-01-01,LA,1042471.0,3603260.0,13635299.0,3737562.0,3653640.0,1717349.0,2044511.0,1568157.0,530891.0,249210.0,97879.0,22007.0,14093.0
2019-01-01,AZ,1721026.0,5428700.0,18705619.0,5351386.0,4462153.0,2087404.0,2659479.0,2727781.0,865350.0,278933.0,190394.0,39342.0,43397.0
2019-01-01,AR,642665.0,2361951.0,7488494.0,1715475.0,2086803.0,964511.0,1162837.0,964348.0,347585.0,154771.0,67697.0,16563.0,7904.0
2019-01-01,CA,9212440.0,30223696.0,111648618.0,33567702.0,28725797.0,12723636.0,14685031.0,13372854.0,5318558.0,2111397.0,750377.0,178478.0,214788.0
2019-01-01,AK,200344.0,534838.0,1942538.0,558829.0,529269.0,242666.0,264106.0,203362.0,87492.0,34583.0,7591.0,5765.0,8875.0
2019-01-01,TN,1530030.0,5219288.0,18171542.0,4275881.0,4842711.0,2277930.0,2823113.0,2587607.0,813675.0,299337.0,171220.0,50571.0,29497.0
2019-01-01,TX,6241090.0,22373021.0,71153995.0,19808125.0,18501418.0,8290611.0,10021733.0,9180015.0,3208199.0,1186266.0,661000.0,183222.0,113406.0
2019-01-01,UT,743549.0,2407892.0,9502097.0,2502651.0,2425292.0,1138965.0,1334410.0,1234255.0,503880.0,177377.0,110086.0,43689.0,31492.0
2019-01-01,VT,154587.0,469797.0,1637249.0,337897.0,439553.0,221647.0,243612.0,238323.0,96840.0,34948.0,17509.0,3189.0,3731.0
2019-01-01,VA,1903963.0,6587692.0,24369646.0,6458314.0,6388138.0,3006908.0,3561978.0,3231312.0,1041086.0,390888.0,188216.0,51208.0,51598.0
2019-01-01,WA,1664296.0,5848264.0,21452760.0,5419053.0,5458958.0,2536653.0,3261166.0,3146301.0,1036112.0,332766.0,169758.0,32116.0,59877.0
2019-01-01,WV,467246.0,1333064.0,4532730.0,1054400.0,1256400.0,575952.0,653184.0,594485.0,236634.0,105705.0,45143.0,7191.0,3636.0
2019-01-01,WI,1299050.0,4496750.0,15989565.0,3594067.0,4189457.0,2059885.0,2456006.0,2220401.0,870992.0,348203.0,180614.0,34794.0,35146.0
2019-01-01,WY,157201.0,418769.0,1654455.0,460411.0,506202.0,194299.0,163405.0,146962.0,92728.0,53191.0,29071.0,5098.0,3088.0
2019-01-01,MD,1383105.0,4641145.0,17310216.0,4705330.0,4445588.0,2010167.0,2519432.0,2378705.0,849388.0,231991.0,102850.0,24730.0,42035.0
2019-01-01,MA,1798521.0,5082532.0,22181890.0,6078316.0,5980407.0,2680470.0,3106759.0,2817590.0,1021091.0,316642.0,104691.0,18791.0,57133.0
2019-01-01,ME,346040.0,988274.0,3208717.0,637295.0,838535.0,426983.0,509146.0,488150.0,178917.0,82675.0,35089.0,5826.0,6101.0
2019-01-01,HI,321121.0,1095029.0,3749820.0,1158443.0,999138.0,419605.0,486246.0,575877.0,75700.0,14307.0,9421.0,3295.0,7788.0
2019-01-01,MI,2342813.0,7622550.0,26701254.0,6633681.0,6893858.0,3358485.0,4024493.0,3681856.0,1264454.0,479687.0,242283.0,55384.0,67073.0
2019-01-01,MN,1266769.0,4327262.0,15278584.0,3589616.0,3806602.0,1772986.0,2246949.0,2419710.0,830948.0,337906.0,187197.0,42524.0,44146.0
2019-01-01,MS,596999.0,2380405.0,7297125.0,1787312.0,1930713.0,884893.0,1102272.0,934487.0,355845.0,178107.0,92480.0,24396.0,6620.0
2019-01-01,MO,1530765.0,4576960.0,16618431.0,4033851.0,4385048.0,2036854.0,2526033.0,2313883.0,809030.0,290444.0,154169.0,39949.0,29170.0
2019-01-01,MT,274792.0,784266.0,2713339.0,713694.0,793853.0,316094.0,328717.0,301549.0,123496.0,74408.0,44176.0,9664.0,7688.0
2019-01-01,NE,441655.0,1481719.0,5193396.0,1215745.0,1444125.0,681807.0,824353.0,590687.0,216082.0,131513.0,62340.0,16489.0,10255.0
2019-01-02,OR,851784.0,3326117.0,14972698.0,3792335.0,4191488.0,1887100.0,2089635.0,2030027.0,598755.0,230847.0,104962.0,23120.0,24429.0
2019-01-02,HI,275645.0,1140505.0,4802940.0,1474927.0,1249456.0,534214.0,632372.0,784912.0,89296.0,18239.0,9818.0,3416.0,6290.0
